Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil
Aaru's Awakening,Lumenox Games,Lumenox Games,Console,2014,-,2014,2014
Aban Hawkins e The 1.001 Spikes,8bits Fanatics,Nicalis,Não,-,-,2014,2014
Abzû,Giant Squid,505 Games,Console,-,-,-,-
Akiba's Trip: Undead e Undressed,Acquire,Acquire,Sony,2015,2014,2015,2014
Alienation,Housemarque,Sony Computer Entertainment,Sim,2015,2015,2015,2015
Alien: Isolation,Creative Assembly,Sega,Não,2014,2014,2014,2014
Alpha Muse,Current Circus,Current Circus,Não,-,-,-,-
Among The Sleep,Krillbite Studio,Krillbite Studio,Não,-,-,-,-
Angry Birds Star Wars,Exient Entertainment,Activision,Não,2013,-,2013,2013
Anoko Wa Ore Kara Hanarenai,Giga,TGL,Não,—,2014,—,—
Anomaly 2,11 Bit Studio,-,Não,-,-,-,-
Another World,The Digital Lounge,The Digital Lounge,Não,2014,-,2014,2014
Apotheon,Alien Trap Games,Alien Trap Games,Console,2014,2014,2014,2014
Assassin's Creed IV: Black Flag,Ubisoft Montreal,Ubisoft,Não,2013,-,2013,2013
Assassin's Creed Odyssey,Ubisoft Montreal,Ubisoft,Não,2018,2018,2018,2018
Assassin's Creed Origins,Ubisoft Montreal,Ubisoft,Não,2017,2017,2017,2017
Assassin's Creed Unity,Ubisoft Toronto,Ubisoft,Não,2014,2014,2014,2014
Assassin's Creed Syndicate,Ubisoft Quebec,Ubisoft,Não,2015,2015,2015,2015
Assault Android Cactus,Witch Beam,Witch Beam,Não,-,-,-,-
Assault Suit Leynos,Dracue Software,Extreme Co.,Não,-,-,-,-
Awesomenauts,Abstraction Games,Ronimo Games,Não,2014,-,2014,2014
Axiom Verge,Thomas Happ Games,Thomas Happ Games,Sony,2015,2015,2015,2015
Aztez,Team Colorblind,Team Colorblind,Não,2014,2014,2014,2014
Backgammon Blitz,VooFoo Studios,VooFoo Studios,Sony,2013,2013,-,-
Baja: Edge of Control HD,2XL Games / BlitWorks,THQ Nordic,Não,2017,2017,2017,2017
Batman: Arkham Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,Não,2015,2015,2015,2015
Basement Crawl,Bloober Team,Bloober Team,Sim,2014,2014,2014,2014
Battleborn,Gearbox Software,2K Games,Não,-,-,-,-
Battlefield 4,DICE,Electronic Arts,Não,2013,2014,2013,2013
Battlefield: Hardline,Visceral Games,Electronic Arts,Não,2015,2015,2015,2015
Beyond: Flesh and Blood,Pixelbomb,Pixelbomb,Não,-,-,-,-
Bladestorm: The Hundred Years’ War & Nightmare,Koei Tecmo,Koei Tecmo,Não,-,2014,-,-
Blast 'Em Bunnies,Nnooo,Nnooo,Console,2014,2014,2014,2014
Bloodborne,From Software,Sony Computer Entertainment,Sim,2015,2015,2015,2015
Blue Estate,Hesaw,Focus Home Interactive,Não,2014,-,2014,2014
Bombshell,3D Realms / Interceptor Entertainment,3D Realms / Interceptor Entertainment,Console,2015,2015,2015,2015
Bound by Flame,Spiders,Focus Home Interactive,Não,2014,2014,2014,2014
Broforce,Free Lives Games,Devolver Digital,Console,2015,2015,2015,2015
Call of Cthulhu,Frogwares,Focus Home Interactive,Não,-,-,-,-
Call of Duty: Advanced Warfare,Sledgehammer Games,Activision,Não,2014,2014,2014,2014
Call of Duty: Ghosts,Infinity Ward,Activision,Não,2013,2014,2013,2013
Call of Duty: Black Ops III,Treyarch,Activision,Não,2015,2015,2015,2015
Carmageddon: Reincarnation,Stainless Games,Stainless Games,Não,2014,2014,2014,2014
CastleStorm,Zen Studios,Zen Studios,Não,2014,2014,2014,2014
Cel Damage HD,Finish Line Games,Finish Line Games,Não,-,-,2014,2014
Chariot,Frima Studio,Frima Studio,Não,2014,2014,2014,2014
Chasm,"Discord Games, Inc.","Discord Games, Inc.",Console,2014,2014,2014,2014
Child of Light,Ubisoft Montreal,Ubisoft,Não,2014,2014,2014,2014
Chroma Squad,Behold Studios,Behold Studios,Não,-,-,-,-
Churbles,CrashGem,CrashGem,Não,-,-,-,-
Citizens of Earth,Atlus,Eden Industries,Não,2014,2014,2014,2014
Contrast,Compulsion Games,Compulsion Games,Não,2013,2014,2013,2013
Cosmic Star Heroine,Zeboyd Games,Zeboyd Games,Não,-,-,-,-
Costume Quest 2,Double Fine Productions,Double Fine Productions,Não,-,-,2014,2014
CounterSpy,Dynamighty,Dynamighty,Console,2014,2014,2014,2014
Crash Bandicoot N. Sane Trilogy,Vicarious Visions,Activision,Sim,2017,2017,2017,2017
Crazy Climber,Nichibutsu,Hamster Corporation,Não,-,2014,-,-
Crossing The Line,Zomboko Entertainment,Zomboko Entertainment,Não,-,-,-,-
Cyberpunk 2077,CD Projekt RED,-,Não,2015,2015,2015,2015
Daylight,Zombie Studios,Atlus,Console,2014,2014,2014,—
DayZ,Bohemia Interactive,Bohemia Interactive,Console,-,-,-,-
Dead by Daylight,Behaviour Interactive,Starbreeze Studios,Console,2017,2017,2017,2017
Dead Island 2,Yager Development,Deep Silver,Não,-,-,-,-
Dead Nation: Apocalypse Edition,Housemarque,Sony Computer Entertainment,Sony,2014,-,2014,2014
Dead or Alive 5: Last Round,Tecmo Koei,Tecmo Koei,Não,-,-,-,-
Defense Grid 2,Hidden Path Entertainment,505 Games,Não,-,-,-,-
Destiny,Bungie,JP Sony Computer EntertainmentWW Activision,Não,2014,2014,2014,2014
Detroit: Become Human,Quantic Dream,Sony Computer Entertainment,Sim,2017,2017,2017,2017
Diablo III,Blizzard Entertainment,Blizzard Entertainment,Não,2014,2014,2014,2014
Dirt 4,Codemasters,Codemasters,Não,2017,2017,2017,2017
Dirt Rally,Codemasters,Codemasters,Não,2017,2017,2017,2017
Dirt Rally 2.0,Codemasters,Codemasters,Não,2019,2019,2019,2019
Disgaea 5,Nippon Ichi Software,Nippon Ichi Software,Sim,-,2015,-,-
Disney Infinity: Marvel Super Heroes,Avalanche Software,Disney Interactive Studios,Não,2014,2014,2014,2014
Divekick,Iron Galaxy Studios,Iron Galaxy Studios,Não,-,-,2014,2014
Doki-Doki Universe,HumaNature Studios,HumaNature Studios,Sony,2013,2014,2013,2013
Doom,Id Software,Bethesda Softworks,Não,-,-,-,-
Don't Starve,Klei Entertainment,Klei Entertainment,Console,2014,2014,2014,2014
Dragon Age: Inquisition,BioWare,Electronic Arts,Não,2014,2014,2014,2014
Dragon Ball Xenoverse,Dimps,Namco Bandai Games,Não,-,-,-,-
Dragon Fin Soup,Grimm Bros,Grimm Bros,Console,2015,2015,2015,2015
