Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
0 Day Attack on Earth,Tiro,Gulti,Square Enix,23 de dezembro de 2009,-,-,-
007 Legends,Tiro em primeira pessoa,Eurocom,Activision,16 de outubro de 2012,19 de outubro de 2012,Não lançado,31 de outubro de 2012
007: Quantum of Solace,Tiro em primeira pessoa,Treyarch,Activision,4 de novembro de 2008,31 de outubro de 2008,26 de março de 2009,19 de novembro de 2008
0-D Beat Drop,Puzzle & Trivia,Cyclone Zero,Arc System Works,11 de novembro de 2009,-,-,-
1 vs. 100,Jogo em grupo,Microsoft Studios,Microsoft Studios,19 de novembro de 2009,-,-,-
11eyes CrossOver,Romance visual,Lass,5pb.,Não lançado,Não lançado,2 de abril de 2009,Não lançado
1942: Joint Strike,Ação & Aventura,Backbone Entertainment,Capcom,23 de julho de 2008,-,-,-
2006 FIFA World Cup,Esportes,EA Canada,EA Sports,24 de abril de 2006,28 de abril de 2006,27 de abril de 2006,Não lançado
2010 FIFA World Cup South Africa,Esportes,EA Canada,EA Sports,27 de abril de 2010,30 de abril de 2010,13 de maio de 2010,29 de abril de 2010
2014 FIFA World Cup Brazil,Esportes,EA Canada,EA Sports,15 de abril de 2014,17 de abril de 2014,24 de abril de 2014,17 de abril de 2014
3 on 3 NHL Arcade,Esportes & Recreação,EA Canada,Electronic Arts,11 de fevereiro de 2009,-,-,-
3D Ultra Minigolf Adventures,Esportes & Recreação,Wanako Games,Vivendi Games,18 de abril de 2007,-,-,-
3D Ultra Minigolf Adventures 2,Esportes & Recreação,Wanako Games,Konami,27 de outubro de 2010,-,-,-
50 Cent: Blood on the Sand,Tiro em terceira pessoa,Swordfish Studios,THQ,24 de fevereiro de 2009,20 de fevereiro de 2009,23 de julho de 2009,26 de fevereiro de 2009
A Kingdom for Keflings,Estratégia & Simulação,NinjaBee,Microsoft Studios,19 de novembro de 2008,-,-,-
A World of Keflings,Estratégia & Simulação,NinjaBee,Microsoft Studios,22 de dezembro de 2010,-,-,-
A.R.E.S.: Extinction Agenda EX,Ação & Aventura,Extend Studio,Aksys Games,2 de outubro de 2013,-,-,-
Absolute: Blazing Infinity,RPG tático,Idea Factory,Idea Factory,Não lançado,Não lançado,29 de março de 2007,Não lançado
Abyss Odyssey,Ação & Aventura,ACE Team,Atlus,16 de julho de 2014,-,-,-
AC/DC Live: Rock Band Track Pack,Música,Harmonix,MTV Games,2 de novembro de 2008,19 de dezembro de 2008,Não lançado,18 de dezembro de 2008
Ace Combat 6: Fires of Liberation,Simulador de combate aéreo,Namco Bandai Games,"Namco Bandai Games, AtariEU",23 de outubro de 2007,23 de novembro de 2007,1 de novembro de 2007,13 de dezembro de 2007
Ace Combat: Assault Horizon,Simulador de combate aéreo,Namco Bandai Games,Namco Bandai Games,11 de outubro de 2011,14 de outubro de 2011,13 de outubro de 2011,13 de outubro de 2011
Aces of the Galaxy,Ação & Aventura,Artech Digital Entertainment,Vivendi Games,4 de junho de 2008,-,-,-
"Action Packed Bundle(Bloodforge, Dungeon Fighter LIVE: Fall of Hendon Myre, Islands of Wakfu, The Dishwasher: Vampire Smile e Unbound Saga)",Ação & Aventura,Misc,Microsoft Studios,19 de julho de 2013,-,-,-
Adidas miCoach,Esportes,Lightning Fish,505 Games,24 de julho de 2012,13 de julho de 2012,26 de julho de 2012,TBA 2012
Adrenalin Misfits,Esportes,Konami,Konami,4 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,20 de novembro de 2010
Alex Adventure: Robot Rampage,Plataforma,Behaviour Interactive,"Majesco Entertainment, 505 Games",13 de agosto de 2013,18 de janeiro de 2014,-,22 de novembro de 2013
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Ação & Aventura,WayForward Technologies,D3 Publisher,19 de novembro de 2013,15 de novembro de 2013,Não lançado,14 de novembro de 2013
Adventure Time: Finn & Jake Investigations,Ação & Aventura,Vicious Cycle Software,Little Orbit,20 de outubro de 2015,6 de novembro de 2015,Não lançado,5 de novembro de 2015
Adventure Time: The Secret of the Nameless Kingdom,Ação & Aventura,WayForward Technologies,Little Orbit,18 de novembro de 2014,28 de novembro de 2014,Não lançado,20 de novembro de 2014
Adventures of ShuggyThe Adventures of Shuggy,Ação & Aventura,Smudged Cat Games,Valcon Games,15 de junho de 2012,-,-,-
Aegis Wing,Ação & Aventura,Carbonated Games,Microsoft Studios,16 de maio de 2007,-,-,-
AFL Live,Esportes,Big Ant Studios,Tru Blu Entertainment,Não lançado,29 de maio de 2011,Não lançado,21 de abril de 2011
AFL Live 2,Esportes,Wicked Witch Software,Tru Blu Entertainment,Não lançado,Não lançado,Não lançado,12 de setembro de 2013
Afro Samurai,Ação,Namco Bandai Games,Namco Bandai Games,27 de janeiro de 2009,27 de março de 2009,Não lançado,2 de abril de 2009
After Burner Climax,Tiro,Sega,Sega,21 de abril de 2010,-,-,-
Age of Booty,Estratégia & Simulação,Certain Affinity,Capcom,15 de outubro de 2008,-,-,-
Air Conflicts: Pacific Carriers,Simulador de combate aéreo,Games Farm,bitComposer,Não lançado,7 de dezembro de 2012,Não lançado,26 de setembro de 2012
Air Conflicts: Secret Wars,Simulador de combate aéreo,Games Farm,bitComposer,28 de setembro de 2011,8 de julho de 2011,Não lançado,4 de agosto de 2011
Air Conflicts: Vietnam,Simulador de combate aéreo,Kalypso Media,Kalypso Media,15 de outubro de 2013,15 de outubro de 2013,12 de setembro de 2013,15 de outubro de 2013
AirMech Arena,Ação & Aventura,Carbon Games,Ubisoft,30 de julho de 2014,-,-,-
Akai Katana Shin,Shoot 'em up,Cave,Cave,15 de maio de 2012,11 de maio de 2012,26 de maio de 2011,28 de agosto de 2012
Akatsuki no Amaneka to Aoi Kyojin,Ação & Aventura,CyberFront Corporation,CyberFront Corporation,Não lançado,Não lançado,28 de junho de 2011,Não lançado
Alan Wake,Tiro em terceira pessoa,Remedy Entertainment,Microsoft Game Studios,18 de maio de 2010,14 de maio de 2010,27 de maio de 2010,20 de maio de 2010
Alan Wake's American Nightmare,Ação & Aventura,Remedy Entertainment,Microsoft Studios,22 de fevereiro de 2012,-,-,-
Alice: Madness Returns,Ação & Aventura,Spicy Horse,Electronic Arts,14 de junho de 2011,17 de junho de 2011,21 de julho de 2011,16 de junho de 2011
Alien Breed Episode 2: Assault,Tiro,Team17,Microsoft Studios,22 de setembro de 2010,-,-,-
Alien Breed Episode 3: Descent,Tiro,Team17,Microsoft Studios,17 de novembro de 2010,-,-,-
Alien Breed Episode 1: Evolution,Tiro,Team17,Microsoft Studios,16 de dezembro de 2009,-,-,-
Alien Breed Trilogy[nota 1],Shoot 'em up,Team17,Mastertronic,Não lançado,25 de março de 2011,Não lançado,31 de março de 2011
Alien Hominid HD,Ação & Aventura,The Behemoth,Microsoft Studios,28 de fevereiro de 2007,-,-,-
Alien Rage,Tiro,CI Games,CI Games,18 de outubro de 2013,-,-,-
Alien Spidy,Ação & Aventura,Enigma Software Productions,Kalypso Media,20 de março de 2013,-,-,-
Alien: Isolation,Survival horror,The Creative Assembly,Sega,7 de outubro de 2014,7 de outubro de 2014,Não lançado,7 de outubro de 2014
Aliens vs. Predator,Tiro em primeira pessoa,Rebellion Developments,Sega,16 de fevereiro de 2010,19 de fevereiro de 2010,Não lançado,18 de fevereiro de 2010
Aliens: Colonial Marines,Tiro em primeira pessoa,Gearbox Software,Sega,12 de fevereiro de 2013,12 de fevereiro de 2013,Não lançado,12 de fevereiro de 2013
All Round Hunter[nota 2],Caça/Pesca,Beast Studios,505 Games,25 de junho de 2010,25 de junho de 2010,Não lançado,Não lançado
All Zombies Must Die!,Ação & Aventura,Doublesix,Square Enix,27 de dezembro de 2011,4 de janeiro de 2012,-,-
All-Pro Football 2K8,Esportes,Visual Concepts,2K Sports,16 de julho de 2007,Não lançado,Não lançado,Não lançado
Alone in the Dark,Survival horror,Eden Games,Atari,23 de junho de 2008,20 de junho de 2008,25 de dezembro de 2008,26 de junho de 2008
Alpha Protocol,RPG de ação,Obsidian Entertainment,Sega,1 de junho de 2010,28 de maio de 2010,Não lançado,27 de maio de 2010
Altered Beast,Clássico,Backbone Entertainment,Sega,10 de junho de 2009,-,-,-
Alvin and the Chipmunks: Chipwrecked,Música,Behaviour Interactive,"Majesco Entertainment, 505 Games",15 de novembro de 2011,5 de abril de 2012,TBA,TBA
American Mensa Academy,Puzzle & Trivia,Silverball Studios,Square Enix,12 de dezembro de 2012,-,-,-
America's Army: True Soldiers,Tiro tático,Red Storm Entertainment,Ubisoft,15 de novembro de 2007,Não lançado,Não lançado,Não lançado
Amped 3,Esportes,Indie Built,2K Sports,22 de novembro de 2005[1],2 de dezembro de 2005,Não lançado,23 de março de 2006
Amy,Ação & Aventura,VectorCell,Lexis Numérique,11 de janeiro de 2012,-,-,-
Anarchy Reigns,Beat 'em up,PlatinumGames,Sega,8 de janeiro de 2013,11 de janeiro de 2013,5 de julho de 2012,10 de janeiro de 2011
Ancients of Ooga,Plataforma,NinjaBee,Microsoft Studios,30 de junho de 2010,-,-,-
Angry Birds Star Wars,Puzzle,"Rovio Entertainment, Exient Entertainment",Activision,29 de outubro de 2013,1 de novembro de 2013,8 de novembro de 2013,Não lançado
Angry Birds Trilogy,Puzzle,Rovio Entertainment,Activision,25 de setembro de 2012,28 de setembro de 2012,Não lançado,14 de novembro de 2012
Anna: Extended Edition,Ação & Aventura,Dreampainters,Kasedo Games,26 de setembro de 2014,-,-,-
Anomaly: Warzone Earth,Estratégia & Simulação,11 bit studios,Microsoft Studios,6 de abril de 2012,-,-,-
Apache: Air Assault,Simulador de combate aéreo,Gaijin Entertainment,Activision,16 de novembro de 2010,19 de novembro de 2010,Não lançado,23 de fevereiro de 2011
Apocalypse: Desire Next,Estratégia,Idea Factory,Idea Factory,Não lançado,Não lançado,29 de novembro de 2007,Não lançado
Apples to Apples,Puzzle & Trivia,ImaginEngine,THQ,7 de dezembro de 2011,-,-,-
Aqua,Ação & Aventura,Games Distillery,Microsoft Studios,18 de maio de 2010,-,-,-
AquaZone: Life Simulator,Simulação,Frontier Groove,Frontier Groove,Não lançado,Não lançado,14 de setembro de 2006,Não lançado
Arcana Heart 3,Luta,Examu,Arc System Works,Não lançado,19 de agosto de 2011,13 de janeiro de 2011,Não lançado
Arcania: Gothic 4,RPG de ação,Spellbound Entertainment,JoWood,19 de outubro de 2010,29 de outubro de 2010,24 de março de 2011,21 de novembro de 2010
Are You Smarter Than a 5th Grader?: Make the Grade,Família & Educacional,Blitz Games,THQ,29 de outubro de 2008,-,-,-
Arkadian Warriors,Ação & Aventura,Wanako Games,Activision,12 de dezembro de 2007,-,-,-
Arkanoid Live!,Puzzle & Trivia,Taito,Taito,6 de maio de 2009,-,-,-
Armored Core 4,Combate veicular,FromSoftware,"Sega, 505 GamesEU, From SoftwareJP",20 de março de 2007,22 de junho de 2007,22 de março de 2007,28 de junho de 2007
Armored Core V,Combate veicular,FromSoftware,Namco Bandai Games America,20 de março de 2012,23 de março de 2012,26 de janeiro de 2012,22 de março de 2012
Armored Core: For Answer,Combate veicular,FromSoftware,Sega,16 de setembro de 2008,28 de novembro de 2008,19 de março de 2008,27 de novembro de 2008
Armored Core: Verdict Day,Combate veicular,FromSoftware,Namco Bandai,24 de setembro de 2013,27 de setembro de 2013,26 de setembro de 2013,26 de setembro de 2013
Army of Two,Tiro em terceira pessoa,EA Montreal,Electronic Arts,6 de março de 2008,7 de março de 2008,19 de março de 2008,13 de março de 2008
Army of Two: The 40th Day,Tiro em terceira pessoa,EA Montreal,Electronic Arts,12 de janeiro de 2010,15 de janeiro de 2010,25 de março de 2010,14 de janeiro de 2010
Army of Two: The Devil's Cartel,Tiro em terceira pessoa,Visceral Games,Electronic Arts,26 de março de 2013,28 de março de 2013,28 de março de 2013,28 de março de 2013
Ascend: Hand of Kul,Ação & Aventura,Signal Studios,Microsoft Studios,25 de setembro de 2013,-,-,-
Ashes Cricket 2009,Esportes,Transmission Games,Codemasters,Não lançado,8 de julho de 2009,Não lançado,13 de julho de 2009
Assassin's Creed,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,13 de novembro de 2007,16 de novembro de 2007,29 de novembro de 2007,21 de novembro de 2007
Assassin's Creed II,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,17 de novembro de 2009,20 de novembro de 2009,3 de dezembro de 2009,19 de novembro de 2007
Assassin's Creed III,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,30 de novembro de 2012,31 de outubro de 2012,15 de novembro de 2012,31 de outubro de 2012
Assassin's Creed: Liberation HD,Ação & Aventura,Ubisoft Sofia,Ubisoft,15 de janeiro de 2014,-,-,-
Assassin's Creed IV: Black Flag,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,29 de outubro de 2013,29 de outubro de 2013,28 de novembro de 2013,29 de outubro de 2013
